Image Index,Foreground Color 1,Foreground Color 2,Foreground Color 3,Foreground Color 4,Foreground Color 5,Background Color 1,Background Color 2,Background Color 3,Background Color 4,Background Color 5
1,"RGB(200, 109, 59)","RGB(68, 47, 33)","RGB(196, 171, 145)","RGB(137, 46, 20)","RGB(137, 115, 96)","RGB(8, 25, 42)","RGB(127, 109, 94)","RGB(254, 252, 247)","RGB(79, 60, 45)","RGB(161, 137, 116)"
2,"RGB(147, 146, 133)","RGB(27, 21, 16)","RGB(111, 107, 89)","RGB(67, 59, 47)","RGB(227, 225, 219)","RGB(242, 239, 234)","RGB(82, 73, 59)","RGB(158, 147, 128)","RGB(120, 110, 92)","RGB(33, 28, 22)"
3,"RGB(107, 95, 76)","RGB(58, 48, 34)","RGB(215, 204, 184)","RGB(174, 162, 141)","RGB(137, 127, 108)","RGB(223, 211, 193)","RGB(128, 117, 102)","RGB(187, 178, 163)","RGB(30, 26, 21)","RGB(162, 151, 135)"
4,"RGB(173, 156, 139)","RGB(96, 80, 66)","RGB(217, 215, 215)","RGB(188, 183, 179)","RGB(133, 112, 95)","RGB(239, 235, 231)","RGB(135, 125, 117)","RGB(165, 155, 145)","RGB(201, 191, 181)","RGB(104, 97, 91)"
5,"RGB(200, 170, 143)","RGB(85, 73, 64)","RGB(213, 214, 206)","RGB(44, 27, 16)","RGB(133, 120, 108)","RGB(109, 75, 46)","RGB(175, 180, 183)","RGB(128, 119, 116)","RGB(52, 38, 24)","RGB(213, 163, 116)"
6,"RGB(166, 169, 172)","RGB(20, 22, 29)","RGB(106, 105, 105)","RGB(149, 150, 149)","RGB(182, 188, 195)","RGB(140, 139, 132)","RGB(183, 168, 158)","RGB(48, 47, 46)","RGB(223, 202, 181)","RGB(157, 154, 148)"
7,"RGB(133, 101, 74)","RGB(219, 203, 175)","RGB(89, 62, 46)","RGB(178, 158, 136)","RGB(18, 17, 13)","RGB(173, 151, 129)","RGB(208, 192, 176)","RGB(103, 92, 80)","RGB(142, 126, 109)","RGB(61, 61, 56)"
8,"RGB(132, 124, 106)","RGB(88, 87, 38)","RGB(180, 166, 145)","RGB(32, 38, 8)","RGB(245, 227, 200)","RGB(211, 191, 168)","RGB(126, 120, 112)","RGB(73, 69, 64)","RGB(254, 252, 244)","RGB(166, 155, 141)"
9,"RGB(171, 158, 144)","RGB(87, 80, 73)","RGB(213, 195, 179)","RGB(131, 125, 119)","RGB(32, 27, 18)","RGB(96, 95, 95)","RGB(178, 164, 153)","RGB(139, 131, 125)","RGB(213, 196, 181)","RGB(63, 62, 61)"
10,"RGB(171, 163, 153)","RGB(54, 46, 32)","RGB(197, 189, 180)","RGB(141, 131, 117)","RGB(99, 86, 69)","RGB(219, 210, 193)","RGB(113, 103, 89)","RGB(164, 154, 141)","RGB(64, 54, 38)","RGB(135, 126, 113)"
11,"RGB(198, 190, 176)","RGB(21, 22, 22)","RGB(92, 91, 88)","RGB(216, 206, 186)","RGB(174, 166, 151)","RGB(146, 145, 137)","RGB(14, 17, 22)","RGB(122, 119, 111)","RGB(193, 189, 175)","RGB(64, 70, 73)"
12,"RGB(185, 167, 148)","RGB(12, 9, 7)","RGB(147, 132, 115)","RGB(110, 97, 83)","RGB(71, 61, 52)","RGB(139, 127, 113)","RGB(204, 213, 215)","RGB(176, 177, 174)","RGB(73, 64, 55)","RGB(161, 150, 137)"
13,"RGB(173, 144, 107)","RGB(43, 34, 24)","RGB(87, 73, 56)","RGB(160, 151, 138)","RGB(139, 114, 78)","RGB(130, 109, 86)","RGB(70, 54, 40)","RGB(245, 243, 224)","RGB(204, 161, 98)","RGB(30, 21, 16)"
14,"RGB(126, 79, 32)","RGB(166, 145, 128)","RGB(117, 99, 82)","RGB(74, 41, 19)","RGB(173, 120, 48)","RGB(224, 220, 200)","RGB(173, 139, 101)","RGB(191, 168, 144)","RGB(132, 95, 63)","RGB(60, 43, 33)"
15,"RGB(242, 235, 225)","RGB(26, 38, 38)","RGB(174, 153, 133)","RGB(87, 98, 97)","RGB(217, 208, 198)","RGB(4, 46, 87)","RGB(215, 219, 219)","RGB(145, 145, 146)","RGB(7, 23, 45)","RGB(79, 86, 96)"
16,"RGB(160, 143, 113)","RGB(35, 30, 20)","RGB(82, 68, 45)","RGB(141, 102, 58)","RGB(8, 6, 4)","RGB(8, 7, 5)","RGB(106, 92, 79)","RGB(80, 68, 55)","RGB(36, 34, 28)","RGB(139, 125, 110)"
17,"RGB(87, 65, 35)","RGB(131, 106, 71)","RGB(198, 159, 76)","RGB(41, 34, 18)","RGB(182, 165, 134)","RGB(252, 245, 194)","RGB(126, 103, 75)","RGB(205, 181, 125)","RGB(57, 46, 22)","RGB(156, 138, 108)"
18,"RGB(171, 164, 151)","RGB(93, 84, 54)","RGB(197, 198, 189)","RGB(135, 125, 111)","RGB(38, 46, 21)","RGB(164, 163, 156)","RGB(50, 39, 25)","RGB(192, 195, 192)","RGB(234, 199, 148)","RGB(125, 119, 108)"
19,"RGB(218, 215, 204)","RGB(71, 69, 60)","RGB(118, 112, 100)","RGB(20, 19, 17)","RGB(173, 172, 160)","RGB(102, 93, 79)","RGB(170, 162, 150)","RGB(139, 131, 119)","RGB(199, 198, 191)","RGB(34, 39, 39)"
